Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_5,SMA_20,Volatility,Close_lag_1,Volume_lag_1
2002-03-05,RELIANCE,EQ,313.65,319.0,319.4,312.1,313.0,313.75,315.23,4373528,137866342425000.0,1306142.0,0.2986,-5.25,7.2999999999999545,0.0003188267176790216,316.65999999999997,313.55499999999995,7.232108595481365,313.65,11341344.0
2002-03-06,RELIANCE,EQ,313.75,308.0,321.5,306.4,307.3,307.65,309.99,3332257,103296582600000.0,822189.0,0.2467,-0.35000000000002274,15.100000000000023,-0.019442231075697314,313.03999999999996,314.3525,5.322605095251141,313.75,4373528.0
2002-03-07,RELIANCE,EQ,307.65,310.0,312.4,306.65,311.8,311.3,310.1,2191214,67949895065000.0,541222.0,0.247,1.3000000000000114,5.75,0.011864131318056303,313.73,314.52000000000004,5.160767996701932,307.65,3332257.0
2002-03-08,RELIANCE,EQ,311.3,311.9,314.5,305.65,306.0,306.95,309.06,1823928,56370027754999.99,627249.0,0.3439,-4.949999999999989,8.850000000000023,-0.013973658849984028,310.65999999999997,314.3075,5.387199130687265,311.3,2191214.0
2002-03-11,RELIANCE,EQ,306.95,309.45,309.45,297.05,298.3,298.45,301.49,3978581,119948551855000.0,627249.0,0.3439,-11.0,12.399999999999977,-0.027691806483140624,307.62,313.8,6.345947733126425,306.95,1823928.0
2002-03-12,RELIANCE,EQ,298.45,298.9,299.45,291.5,291.6,292.25,294.42,2613070,76933844140000.0,1975227.0,0.2997,-6.649999999999977,7.949999999999989,-0.020773998994806475,303.32,312.9525,7.927392134404922,298.45,3978581.0
2002-03-13,RELIANCE,EQ,292.25,293.0,298.6,292.0,293.85,293.65,295.51,2769786,81848750565000.0,794826.0,0.287,0.6499999999999773,6.600000000000023,0.004790419161676551,300.52,312.135,9.016156550735012,292.25,2613070.0
2002-03-14,RELIANCE,EQ,293.65,297.05,298.4,294.3,297.9,297.5,296.72,1581664,46931513020000.0,352191.0,0.2227,0.44999999999998863,4.099999999999966,0.013110846245530494,297.76,311.4325,9.593038525821116,293.65,2769786.0
2002-03-15,RELIANCE,EQ,297.5,298.25,309.45,298.25,308.45,308.05,304.84,4210330,128347636400000.0,1519584.0,0.3609,9.800000000000011,11.199999999999989,0.03546218487394959,297.97999999999996,311.05499999999995,9.568931359792193,297.5,1581664.0
2002-03-18,RELIANCE,EQ,308.05,310.7,312.8,305.1,306.0,306.7,309.05,2059788,63656926220000.01,708243.0,0.3438,-4.0,7.699999999999989,-0.004382405453660199,299.63,310.4525,9.437376349834446,308.05,4210330.0
2002-03-19,RELIANCE,EQ,306.7,307.0,307.7,298.25,299.6,299.6,302.2,1633645,49369220800000.0,637407.0,0.3902,-7.399999999999977,9.449999999999989,-0.02314965764590793,301.1,309.39,9.401310099073475,306.7,2059788.0
2002-03-20,RELIANCE,EQ,299.6,301.0,304.85,298.5,303.45,303.75,302.07,2361710,71340013215000.0,567344.0,0.2402,2.75,6.350000000000023,0.013851802403204161,303.12,308.725,9.300813490170682,299.6,1633645.0
2002-03-21,RELIANCE,EQ,303.75,302.0,304.65,301.1,303.5,303.55,302.95,1151936,34898360910000.004,371601.0,0.3226,1.5500000000000114,3.5499999999999545,-0.0006584362139917532,304.33000000000004,308.1825,9.268754458422121,303.75,2361710.0
2002-03-22,RELIANCE,EQ,303.55,299.9,304.6,297.1,303.8,303.8,301.02,1913748,57606875129999.99,643929.0,0.3364999999999999,3.900000000000034,7.5,0.0008235875473563414,303.48,307.6275,9.177224024151714,303.55,1151936.0
